answer,duration
unknown,00.065
unknown,00.052
unknown,00.075
unknown,00.056
unknown,00.062
unsat,00.053
unsat,00.053
unsat,00.052
unknown,00.062
unsat,00.052
unknown,00.111
unknown,00.057
unknown,00.055
unknown,00.082
unknown,00.067
unknown,00.072
unknown,00.091
unknown,00.058
unknown,00.075
unknown,00.056
unknown,00.096
unknown,00.054
unknown,00.093
unknown,00.051
unknown,00.095
unknown,00.068
unknown,00.066
unknown,00.061
unknown,00.063
unknown,00.056
unknown,00.064
unknown,00.064
unknown,00.060
unknown,00.069
unknown,00.067
unknown,00.067
unknown,00.067
unknown,00.064
unknown,00.057
unknown,00.054
unknown,00.091
unknown,00.061
unknown,00.057
unknown,00.092
unknown,00.077
unknown,00.054
unknown,00.102
unsat,00.052
unsat,00.051
unsat,00.051
unknown,00.066
unsat,00.051
unknown,00.115
unknown,00.056
unknown,00.062
unknown,00.061
unknown,00.096
unknown,00.055
unknown,00.086
unknown,00.069
unknown,00.075
unknown,00.097
unknown,00.060
unknown,00.075
unknown,00.061
unknown,00.098
unknown,00.099
unknown,00.056
unknown,00.053
unknown,00.096
unknown,00.069
unknown,00.069
unknown,00.065
unknown,00.063
unknown,00.061
unknown,00.068
unknown,00.068
unknown,00.064
unknown,00.066
unknown,00.066
unknown,00.067
unknown,00.068
unknown,00.066
unknown,00.069
unknown,00.085
unknown,00.062
unknown,00.063
unknown,00.057
unknown,00.093
unknown,00.066
unknown,00.054
unknown,00.052
unknown,00.080
unknown,00.050
unknown,00.055
unknown,00.059
unknown,00.071
unknown,00.091
unknown,00.053
unknown,00.061
unknown,00.052
unknown,00.065
unknown,00.106
unknown,00.052
unknown,00.053
unknown,00.089
unknown,00.060
unknown,00.069
unknown,00.061
unknown,00.062
unknown,00.053
unknown,00.051
unknown,00.064
unknown,00.051
unknown,00.085
unknown,00.065
unknown,00.064
unknown,00.066
unknown,00.065
unknown,00.064
unknown,00.052
unknown,00.057
unknown,00.055
unknown,00.051
unknown,00.065
unknown,00.052
unknown,00.050
unknown,00.051
unknown,00.053
unknown,00.056
unknown,00.070
unknown,00.089
unknown,00.049
unknown,00.057
unknown,00.050
unknown,00.103
unknown,00.049
unknown,00.065
unknown,00.052
unknown,00.087
unknown,00.057
unknown,00.066
unknown,00.057
unknown,00.059
unknown,00.051
unknown,00.050
unknown,00.051
unknown,00.050
unknown,00.062
unknown,00.061
unknown,00.062
unknown,00.063
unknown,00.061
unknown,00.052
unknown,00.048
unknown,00.063
unknown,00.050
unknown,00.051
unknown,00.077
unknown,00.145
unknown,00.145
unknown,00.091
unknown,00.091
unknown,00.149
unknown,00.091
unknown,00.042
unknown,00.042
unknown,00.060
unknown,00.091
unknown,00.091
unknown,00.090
unknown,00.052
unknown,00.051
unknown,00.090
unknown,00.050
unknown,00.050
unknown,00.055
unknown,00.054
unknown,00.058
unknown,00.060
unknown,00.091
unknown,00.090
unknown,00.043
unknown,00.045
unknown,00.061
unknown,00.091
unknown,00.048
unknown,00.088
unknown,00.057
unknown,00.061
unknown,00.169
unknown,00.175
unknown,00.125
unknown,00.127
unknown,00.168
unknown,00.128
unsat,00.052
unsat,00.049
unknown,00.058
unknown,00.117
unknown,00.117
unknown,00.115
unknown,00.046
unknown,00.055
unknown,00.056
unknown,00.062
unknown,00.050
unknown,00.118
unknown,00.051
unknown,00.061
unknown,00.048
unknown,00.058
unknown,00.056
unknown,00.122
unknown,00.118
unknown,00.042
unknown,00.046
unknown,00.058
unknown,00.117
unknown,00.049
unknown,00.117
unknown,00.056
unknown,00.055
unknown,00.050
unknown,00.106
unknown,00.110
unknown,00.106
unknown,00.043
unknown,00.048
unknown,00.050
unknown,00.042
unknown,00.043
unknown,00.114
unknown,00.043
unknown,00.053
unknown,00.042
unknown,00.045
unknown,00.049
unknown,00.091
unknown,00.117
unknown,00.044
unknown,00.042
unknown,00.141
unknown,00.109
unknown,00.042
unknown,00.110
unknown,00.045
unknown,00.152
unknown,00.047
unknown,00.084
unknown,00.085
unknown,00.076
unknown,00.043
unknown,00.044
unknown,00.083
unknown,00.043
unknown,00.042
unknown,00.044
unknown,00.052
unknown,00.053
unknown,00.117
unknown,00.089
unknown,00.089
unknown,00.044
unknown,00.042
unknown,00.053
unknown,00.085
unknown,00.042
unknown,00.084
unknown,00.050
unknown,00.125
unknown,00.351
unsat,00.064
unknown,00.067
unknown,00.211
unknown,00.359
unknown,00.212
unknown,00.112
unknown,00.104
unknown,00.130
unknown,00.091
unsat,00.063
unknown,00.093
unknown,00.093
unknown,00.104
unknown,00.089
unknown,00.070
unknown,00.092
unknown,00.093
unknown,00.357
unknown,00.356
unknown,00.360
unknown,00.303
unknown,00.072
unknown,00.075
unknown,00.212
unknown,00.070
unknown,00.209
unknown,00.088
unknown,00.090
unknown,00.210
unknown,00.211
unknown,00.216
unknown,00.126
unknown,00.090
unknown,00.071
unknown,00.123
unknown,00.080
unknown,00.099
unknown,00.099
unknown,00.591
unsat,00.084
unknown,00.103
unknown,00.337
unknown,00.400
unknown,00.336
unknown,00.135
unknown,00.154
unknown,00.159
unknown,00.119
unsat,00.081
unknown,00.130
unknown,00.116
unknown,00.124
unknown,00.123
unknown,00.134
unknown,00.111
unknown,00.089
unknown,00.115
unknown,00.116
unknown,00.392
unknown,00.393
unknown,00.391
unknown,00.111
unknown,00.334
unknown,00.090
unknown,00.408
unknown,00.337
unknown,00.410
unknown,00.089
unknown,00.098
unknown,00.340
unknown,00.340
unknown,00.110
unknown,00.110
unknown,00.112
unknown,00.342
unknown,00.346
unknown,00.120
unknown,00.115
unknown,00.097
unknown,00.339
unknown,00.083
unknown,00.087
unknown,00.121
unknown,00.097
unknown,00.089
unknown,00.082
unknown,00.085
unknown,00.085
unknown,00.086
unknown,00.085
unknown,00.339
unknown,00.150
unknown,00.111
unknown,00.090
unknown,00.146
unknown,00.101
unknown,00.082
unknown,00.092
unknown,00.114
unknown,00.114
unknown,00.096
unknown,00.084
unknown,00.100
unknown,00.096
unknown,00.252
unknown,00.192
unknown,00.270
unsat,00.082
unknown,00.292
unknown,00.088
unknown,00.376
unknown,00.315
unknown,00.346
unknown,00.086
unknown,00.084
unknown,00.314
unknown,00.331
unsat,00.085
unknown,00.115
unknown,00.097
unknown,00.374
unknown,00.300
unknown,00.153
unknown,00.167
unknown,00.096
unknown,00.392
unknown,00.086
unknown,00.090
unknown,00.151
unknown,00.085
unknown,00.090
unknown,00.087
unknown,00.086
unknown,00.085
unknown,00.085
unknown,00.085
unknown,00.207
unknown,00.082
unknown,00.106
unknown,00.084
unknown,00.085
unknown,00.083
unknown,00.064
unknown,00.091
unknown,00.076
unknown,00.064
unknown,00.078
unknown,00.075
unknown,00.225
unknown,00.165
unknown,00.239
unknown,00.262
unknown,00.063
unknown,00.065
unknown,00.178
unknown,00.064
unknown,00.204
unknown,00.083
unknown,00.076
unknown,00.242
unknown,00.240
unknown,00.082
unknown,00.065
unknown,00.083
unknown,00.063
unknown,00.066
unknown,00.063
unknown,00.073
unknown,00.090
unknown,00.112
unknown,00.142
unsat,00.066
unsat,00.068
unknown,00.227
unsat,00.070
unsat,00.087
unknown,00.092
unknown,00.090
unknown,00.077
unknown,00.143
unknown,00.142
unknown,00.139
unknown,00.075
unknown,00.077
unknown,00.100
unknown,00.101
unknown,00.101
unknown,00.092
unknown,00.140
unknown,00.075
unknown,00.091
unknown,00.090
unknown,00.091
unknown,00.099
unknown,00.089
unknown,00.098
unknown,00.102
unknown,00.144
unknown,00.099
unknown,00.090
unknown,00.076
unknown,00.142
unknown,00.142
unknown,00.142
unknown,00.143
unknown,00.097
unknown,00.096
unknown,00.127
unknown,00.079
unsat,00.073
unsat,00.077
unknown,00.234
unsat,00.075
unsat,00.101
unsat,00.098
unknown,00.104
unknown,00.083
unknown,00.151
unknown,00.148
unknown,00.145
unknown,00.081
unknown,00.081
unknown,00.106
unknown,00.109
unknown,00.107
unknown,00.102
unknown,00.146
unknown,00.081
unknown,00.104
unknown,00.106
unknown,00.095
unknown,00.102
unknown,00.104
unknown,00.100
unknown,00.107
unknown,00.108
unknown,00.152
unknown,00.105
unknown,00.097
unknown,00.077
unknown,00.105
unknown,00.081
unknown,00.148
unknown,00.151
unknown,00.151
unknown,00.151
unknown,00.106
unknown,00.103
unknown,00.074
unknown,00.151
unknown,00.148
unknown,00.144
unknown,00.071
unknown,00.070
unknown,00.102
unknown,00.101
unknown,00.104
unknown,00.091
unknown,00.135
unknown,00.074
unknown,00.103
unknown,00.077
unknown,00.075
unknown,00.083
unknown,00.095
unknown,00.095
unknown,00.102
unknown,00.101
unknown,00.136
unknown,00.097
unknown,00.075
unknown,00.074
unknown,00.091
unknown,00.071
unknown,00.118
unknown,00.149
unknown,00.140
unknown,00.228
unknown,00.080
unknown,00.097
unknown,00.069
unknown,00.139
unknown,00.140
unknown,00.135
unknown,00.068
unknown,00.068
unknown,00.096
unknown,00.094
unknown,00.093
unknown,00.084
unknown,00.128
unknown,00.068
unknown,00.092
unknown,00.067
unknown,00.068
unknown,00.078
unknown,00.076
unknown,00.097
unknown,00.095
unknown,00.131
unknown,00.092
unknown,00.066
unknown,00.069
unknown,00.112
unknown,00.143
unknown,00.136
unknown,00.223
unknown,00.073
unknown,00.091
unknown,00.171
unknown,00.171
unknown,00.178
unknown,00.036
unknown,00.175
unknown,00.173
unknown,00.171
timeout,20.00
timeout,20.00
timeout,20.00
unknown,00.031
unknown,00.036
unknown,00.039
unknown,00.124
unknown,00.081
unknown,00.028
unknown,00.058
unknown,00.182
unknown,00.160
timeout,20.00
unsat,00.081
unsat,00.234
unknown,00.025
unknown,00.023
unknown,00.022
unknown,00.103
unsat,00.259
unknown,00.064
unsat,00.224
unknown,00.089
unknown,00.092
unsat,00.224
unsat,00.227
unsat,00.231
unknown,00.064
unsat,00.224
unknown,00.102
unknown,00.092
unknown,00.083
unknown,00.083
unknown,00.063
unknown,00.061
unsat,00.224
unsat,00.226
unknown,00.102
unsat,00.062
unknown,00.063
unsat,00.066
unknown,00.085
unknown,00.085
unknown,00.069
unknown,00.052
unknown,00.056
unsat,00.174
unknown,00.050
unknown,00.049
unsat,00.194
unsat,00.195
unsat,00.217
unknown,00.050
unsat,00.198
unknown,00.069
unknown,00.052
unknown,00.112
unknown,00.070
unknown,00.085
unknown,00.052
unsat,00.219
unsat,00.216
unknown,00.083
unsat,00.054
unknown,00.121
unknown,00.051
unknown,00.069
unknown,00.069
unknown,00.065
unknown,00.077
unknown,00.076
unknown,00.037
unknown,00.076
unknown,00.036
unknown,00.038
unsat,00.036
unknown,00.073
unknown,00.077
unknown,00.076
unknown,00.078
unknown,00.077
unknown,00.079
unknown,00.066
unknown,00.066
unknown,00.079
unknown,00.068
unknown,00.065
unknown,00.076
unknown,00.078
unknown,00.067
unknown,00.066
unknown,00.043
unknown,00.042
unknown,00.077
unknown,00.076
unknown,00.079
unknown,00.092
unknown,00.119
unsat,00.042
unsat,00.113
unknown,00.056
unknown,00.044
unsat,00.041
unknown,00.093
unknown,00.082
unknown,00.084
unknown,00.083
unknown,00.084
unknown,00.083
unknown,00.077
unknown,00.076
unknown,00.084
unknown,00.076
unknown,00.075
unknown,00.091
unknown,00.074
unknown,00.053
unknown,00.056
unknown,00.041
unknown,00.054
unknown,00.042
unknown,00.092
unknown,00.094
unknown,00.074
unknown,00.047
unknown,00.047
unknown,00.094
unknown,00.093
unknown,00.081
unknown,00.083
unknown,00.077
unknown,00.065
unknown,00.076
unknown,00.078
unknown,00.079
unknown,00.070
unknown,00.073
unknown,00.075
unknown,00.073
unknown,00.071
unknown,00.083
unknown,00.070
unknown,00.051
unknown,00.050
unknown,00.095
unknown,00.050
unknown,00.038
unknown,00.086
unknown,00.082
unknown,00.059
unknown,00.038
unknown,00.042
unknown,00.086
unknown,00.079
unknown,00.082
unknown,00.065
unknown,00.074
unknown,00.061
unknown,00.072
unknown,00.074
unknown,00.075
unknown,00.063
unknown,00.063
unsat,00.036
unknown,00.063
unknown,00.065
unknown,00.068
unknown,00.070
unsat,00.040
unsat,00.038
unknown,00.036
unknown,00.036
unknown,00.066
unknown,00.062
unknown,00.077
unknown,00.111
unknown,00.069
unknown,00.120
unknown,00.112
unknown,00.269
unknown,00.119
unknown,00.076
unknown,00.093
unknown,00.091
unknown,00.100
unknown,00.122
unknown,00.266
unknown,00.102
unknown,00.084
unknown,00.119
unknown,00.076
unknown,00.117
unknown,00.091
unknown,00.074
unknown,00.269
unknown,00.270
unknown,00.272
unknown,00.122
unknown,00.121
unknown,00.075
unknown,00.078
unknown,00.085
unknown,00.091
unknown,00.103
unknown,00.084
unknown,00.093
unknown,00.265
unknown,00.139
unsat,00.075
unknown,00.215
unknown,00.130
unknown,00.251
unknown,00.132
unknown,00.084
unknown,00.257
unknown,00.100
unknown,00.101
unknown,00.111
unknown,00.138
unknown,00.255
unknown,00.107
unknown,00.091
unknown,00.136
unknown,00.136
unknown,00.097
unknown,00.135
unknown,00.083
unknown,00.137
unknown,00.083
unknown,00.250
unknown,00.257
unknown,00.136
unknown,00.138
unknown,00.091
unknown,00.078
unknown,00.086
unknown,00.077
unknown,00.258
unknown,00.083
unknown,00.095
unknown,00.098
unknown,00.092
unknown,00.110
unknown,00.089
unknown,00.098
unknown,00.076
unknown,00.170
unknown,00.103
unknown,00.073
unknown,00.090
unknown,00.116
unknown,00.174
unknown,00.077
unknown,00.075
unknown,00.133
unknown,00.130
unknown,00.076
unknown,00.130
unknown,00.073
unknown,00.131
unknown,00.073
unknown,00.227
unknown,00.253
unknown,00.128
unknown,00.129
unknown,00.078
unknown,00.177
unknown,00.075
unknown,00.160
unknown,00.233
unknown,00.078
unknown,00.084
unknown,00.122
unknown,00.075
unknown,00.090
unknown,00.075
unknown,00.072
unknown,00.071
unknown,00.092
unknown,00.069
unknown,00.085
unknown,00.093
unknown,00.196
unknown,00.068
unknown,00.068
unknown,00.104
unknown,00.071
unsat,00.072
unknown,00.067
unknown,00.070
unknown,00.209
unknown,00.362
unknown,00.260
unknown,00.110
unknown,00.114
unknown,00.069
unknown,00.070
unknown,00.070
unknown,00.071
unknown,00.089
unknown,00.069
unknown,00.069
unknown,00.176
unknown,00.089
unknown,00.064
unknown,00.166
unknown,00.157
unknown,00.089
unknown,00.068
unknown,00.270
unknown,00.155
unsat,00.053
unknown,00.068
unknown,00.055
unknown,00.072
unknown,00.064
unknown,00.066
unknown,00.067
unknown,00.163
unknown,00.158
unknown,00.158
unknown,00.064
unknown,00.064
unknown,00.066
unknown,00.065
unknown,00.074
unknown,00.065
unknown,00.075
unknown,00.085
unknown,00.055
unknown,00.159
unknown,00.076
unknown,00.067
unknown,00.065
unknown,00.163
unknown,00.063
unknown,00.087
unknown,00.065
unknown,00.169
unknown,00.163
unknown,00.084
unsat,00.083
unknown,00.276
unknown,00.159
unsat,00.057
unknown,00.098
unknown,00.058
unknown,00.069
unknown,00.167
unknown,00.067
unknown,00.069
unknown,00.070
unknown,00.072
unknown,00.169
unknown,00.161
unknown,00.162
unknown,00.066
unknown,00.065
unknown,00.072
unknown,00.069
unknown,00.070
unknown,00.071
unknown,00.069
unknown,00.079
unknown,00.066
unknown,00.063
unknown,00.060
unknown,00.160
unknown,00.080
unknown,00.081
unknown,00.084
unknown,00.064
unknown,00.067
unknown,00.159
unknown,00.064
unknown,00.065
unknown,00.214
unknown,00.056
unknown,00.155
unknown,00.101
unknown,00.141
unknown,00.063
unknown,00.062
unknown,00.076
unknown,00.062
unknown,00.063
unknown,00.073
unknown,00.053
unknown,00.069
unknown,00.076
unknown,00.059
unknown,00.052
unknown,00.083
unknown,00.055
unknown,00.077
unknown,00.062
unknown,00.054
unknown,00.066
unknown,00.060
unknown,00.210
unknown,00.051
unknown,00.151
unknown,00.100
unknown,00.136
unknown,00.056
unknown,00.056
unknown,00.058
unknown,00.058
unknown,00.080
unknown,00.049
unknown,00.064
unknown,00.050
unknown,00.049
unknown,00.082
unknown,00.056
unknown,00.061
unknown,00.061
unknown,00.149
unknown,00.062
unknown,00.117
unknown,00.141
unknown,00.116
unknown,00.113
unknown,00.116
unknown,00.116
unknown,00.116
unknown,00.261
unknown,00.109
unknown,00.106
unknown,00.110
unknown,00.165
unknown,00.102
unknown,00.109
unknown,00.261
unknown,00.111
unknown,00.109
unknown,00.147
unknown,00.145
unknown,00.111
unknown,00.110
unknown,00.108
unknown,00.163
unknown,00.257
unknown,00.110
unknown,00.105
unknown,00.164
unknown,00.262
unknown,00.165
unknown,00.112
unknown,00.261
unknown,00.113
unknown,00.111
unknown,00.261
unknown,00.119
unknown,00.145
unknown,00.118
unknown,00.117
unknown,00.117
unknown,00.116
unknown,00.116
unknown,00.262
unknown,00.111
unknown,00.107
unknown,00.111
unknown,00.165
unknown,00.103
unknown,00.108
unknown,00.264
unknown,00.112
unknown,00.111
unknown,00.148
unknown,00.149
unknown,00.111
unknown,00.113
unknown,00.109
unknown,00.169
unknown,00.257
unknown,00.112
unknown,00.105
unknown,00.166
unknown,00.258
unknown,00.165
unknown,00.113
unknown,00.262
unknown,00.115
unknown,00.110
unknown,00.261
unknown,00.095
unknown,00.097
unknown,00.110
unknown,00.107
unknown,00.259
unknown,00.096
unknown,00.100
unknown,00.093
unknown,00.147
unknown,00.095
unknown,00.095
unknown,00.177
unknown,00.097
unknown,00.095
unknown,00.100
unknown,00.132
unknown,00.097
unknown,00.095
unknown,00.096
unknown,00.158
unknown,00.226
unknown,00.097
unknown,00.096
unknown,00.146
unknown,00.223
unknown,00.136
unknown,00.095
unknown,00.212
unknown,00.096
unknown,00.094
unknown,00.179
unknown,00.097
unknown,00.096
unknown,00.107
unknown,00.107
unknown,00.259
unknown,00.094
unknown,00.097
unknown,00.097
unknown,00.145
unknown,00.094
unknown,00.095
unknown,00.172
unknown,00.093
unknown,00.095
unknown,00.100
unknown,00.128
unknown,00.093
unknown,00.099
unknown,00.097
unknown,00.158
unknown,00.226
unknown,00.096
unknown,00.096
unknown,00.145
unknown,00.223
unknown,00.138
unknown,00.094
unknown,00.215
unknown,00.097
unknown,00.093
unknown,00.178
unknown,00.058
unknown,00.051
unknown,00.048
unknown,00.040
unknown,00.043
unknown,00.038
unknown,00.051
unknown,00.050
unknown,00.053
unknown,00.049
unknown,00.056
unknown,00.056
unknown,00.039
unknown,00.043
unknown,00.037
unknown,00.046
unknown,00.051
unknown,00.051
unknown,00.051
unknown,00.076
unknown,00.042
unknown,00.044
unknown,00.034
unknown,00.036
unknown,00.035
unknown,00.038
unknown,00.040
unknown,00.040
unknown,00.042
unknown,00.043
unknown,00.040
unknown,00.035
unknown,00.037
unknown,00.036
unknown,00.035
unknown,00.051
unknown,00.049
unknown,00.046
unknown,00.318
unknown,00.315
unknown,00.320
unknown,00.318
unknown,00.321
unknown,00.063
unknown,00.084
unknown,00.084
unknown,00.063
unknown,00.063
unknown,00.317
unknown,00.328
unknown,00.052
unknown,00.084
unknown,00.046
unknown,00.069
unknown,00.060
unknown,00.083
unknown,00.060
unknown,00.315
unknown,00.318
unknown,00.052
unknown,00.062
unknown,00.061
unknown,00.055
unknown,00.319
unknown,00.071
unknown,00.053
unknown,00.054
unknown,00.320
unknown,00.058
unknown,00.056
unknown,00.083
unknown,00.081
unknown,00.247
unknown,00.245
unknown,00.080
unknown,00.061
unknown,00.248
unknown,00.245
unknown,00.071
unknown,00.059
unknown,00.069
unknown,00.070
unknown,00.082
unknown,00.070
unknown,00.082
unknown,00.242
unknown,00.244
unknown,00.079
unknown,00.067
unknown,00.067
unknown,00.080
unknown,00.079
unknown,00.061
unknown,00.057
unknown,00.243
unknown,00.062
unknown,00.063
unknown,00.108
unknown,00.112
unknown,00.112
unknown,00.224
unknown,00.057
unknown,00.055
unknown,00.185
unknown,00.116
unknown,00.052
unknown,00.052
unknown,00.064
unknown,00.053
unknown,00.070
unknown,00.064
unknown,00.054
unknown,00.236
unknown,00.243
unknown,00.074
unknown,00.065
unknown,00.064
unknown,00.072
unknown,00.071
unknown,00.055
unknown,00.054
unknown,00.129
unknown,00.056
unknown,00.056
unknown,00.070
unknown,00.657
unknown,00.087
unknown,00.109
unknown,00.048
unknown,00.070
unknown,00.077
unknown,00.052
unknown,00.058
unknown,00.257
unknown,00.269
unknown,00.049
unknown,00.078
unknown,00.320
unsat,00.048
unknown,00.058
unknown,00.076
unknown,00.058
unknown,00.313
unknown,00.314
unknown,00.049
unknown,00.059
unknown,00.057
unknown,00.049
unsat,00.052
unsat,00.048
unknown,00.047
unknown,00.352
unknown,00.194
unknown,00.050
unknown,00.048
unknown,00.052
unknown,00.017
unknown,00.053
unknown,00.050
unknown,00.015
unknown,00.013
unsat,00.022
unknown,00.022
unsat,00.135
unknown,00.021
unsat,00.133
unknown,00.014
unknown,00.013
unknown,00.019
unknown,00.030
unknown,00.021
unknown,00.028
unknown,00.018
unknown,00.013
unknown,00.014
unknown,00.013
unsat,00.115
unknown,00.021
unknown,00.030
unknown,00.017
unknown,00.013
unknown,00.012
unknown,00.012
unknown,00.044
unknown,00.103
unknown,00.105
unknown,00.106
unknown,00.040
unknown,00.040
unknown,00.040
unknown,00.042
timeout,20.00
timeout,20.00
timeout,20.00
unknown,00.048
timeout,20.00
unknown,00.049
unknown,00.036
unknown,00.035
unknown,00.045
unknown,00.105
unknown,00.104
unknown,00.104
unknown,00.105
unknown,00.037
unsat,00.038
unknown,00.068
unsat,00.036
unknown,00.034
unknown,00.040
unknown,00.039
unknown,00.037
unknown,00.036
unknown,00.030
timeout,20.00
unsat,00.033
unsat,00.056
unsat,00.032
unknown,00.034
unknown,00.033
unknown,00.043
unsat,00.098
unsat,00.064
unsat,00.066
unsat,00.071

